Title,Price,Image_URL
1 To 2 Network Splitter,18.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Alfa E183-400,99.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Alfa E185-400,99.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Alfa E190-3U,119.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E ATX 400 Watt,42.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Basis RD85,129.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Gaming Dominator G3305 – 3×120 Fan ARGB,165.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Gaming Guru GW01 – 2×140 Fan ARGB + 1×120 Fan ARGB,205.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Gaming Spargo GX910 ARGB Strip,115.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Hunter GH1,185.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Power Link WR701 N300 USB2.0 WiFi-adapter,10.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
2E Power Link WR818 N150 Pico USB 2.0 WiFi-adapter,13.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Afox ATI Radeon RX 550 4 GB –,735.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo Aurora C5 – 5×120 Fan RGB,145.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo Darkflash C7 – 3×120 Fan RGB,135.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo Darkflash C7 – 5×120 Fan RGB,195.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash CF11 Pro – 3×120 Fan RGB,99.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash CF11 Pro 120 mm,21.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash CF8 Pro – 3×120 Fan,79.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash CF8 Pro – 5×120 Fan RGB,115.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash CF8 Pro 120 mm,22.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash Darkvoid,29.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash DR12 120 mm,22.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash E4 Blue,79.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash L6,65.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash Shadow,59.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash Talon,64.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash Talon 120 mm,29.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash Z6 Green 120 mm,22.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DarkFlash ZR12 Green120 mm,39.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Aigo DR12 – 3×120 Fan RGB,75.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Amd Box Cpu Cooler AM4 –,7.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
AMD Ryzen™ 5 Pro 4650G – 3.7 Ghz,835.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
AMD Ryzen™5 2400G – 3.6 Ghz (მ),485.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
AMD Ryzen™5 3600 – 3.6 Ghz,965.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
AMD Ryzen™5 5600X – 3.7 Ghz –,780.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
AMD Ryzen™9 5900X – 3.7 Ghz –,"1,590.00₾",https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Arctic Freezer 34 eSports Grey,127.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Arctic Freezer i35,155.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Arctic Freezer I35 A-RGB,199.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Arctic Liquid Freezer II 240 A-RGB,445.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Arctic Liquid Freezer II 360,435.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Arctic P12 PWM 120 MM,25.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Asrock H470-HVS,245.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Asrock H470M-HDV,235.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Asrock H81 Pro BTC (მ),640.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Asrock Z370 Pro4/Oem (მ),540.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Asus Cerberus GTX 1050 TI 4 GB,785.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
Asus Dual GTX 1650 4 GB,940.00₾,https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png
